Time,Oxygen Level,Pulse Rate,Motion
22:05:21 02/07/2026,84,100,0
22:05:22 02/07/2026,84,100,0
22:05:23 02/07/2026,84,100,0
22:05:24 02/07/2026,84,100,0
22:05:25 02/07/2026,84,100,0
22:05:26 02/07/2026,84,100,0
22:05:27 02/07/2026,84,100,0
22:05:28 02/07/2026,84,100,0
22:05:29 02/07/2026,84,100,0
22:05:30 02/07/2026,84,100,0
22:05:31 02/07/2026,84,100,0
22:05:32 02/07/2026,84,100,0
22:05:33 02/07/2026,84,100,0
22:05:34 02/07/2026,84,100,0
22:05:35 02/07/2026,84,100,0
22:05:36 02/07/2026,84,100,0
22:05:37 02/07/2026,84,100,0
22:05:38 02/07/2026,84,100,0
22:05:39 02/07/2026,84,100,0
22:05:40 02/07/2026,84,100,0
22:05:41 02/07/2026,84,100,0
22:05:42 02/07/2026,84,100,0
22:05:43 02/07/2026,84,100,0
22:05:44 02/07/2026,84,100,0
22:05:45 02/07/2026,84,100,0
22:05:46 02/07/2026,93,53,0
22:05:47 02/07/2026,93,53,0
22:05:48 02/07/2026,93,53,0
22:05:49 02/07/2026,93,53,0
22:05:50 02/07/2026,93,53,0
22:05:51 02/07/2026,93,53,0
22:05:52 02/07/2026,93,53,0
22:05:53 02/07/2026,93,53,0
22:05:54 02/07/2026,93,53,0
22:05:55 02/07/2026,93,53,0
22:05:56 02/07/2026,93,53,0
22:05:57 02/07/2026,94,53,0
22:05:58 02/07/2026,94,53,0
22:05:59 02/07/2026,94,53,0
22:06:00 02/07/2026,94,53,0
22:06:01 02/07/2026,95,53,0
22:06:02 02/07/2026,95,53,0
22:06:03 02/07/2026,96,52,0
22:06:04 02/07/2026,97,52,0
22:06:05 02/07/2026,97,53,0
22:06:06 02/07/2026,98,53,0
22:06:07 02/07/2026,98,52,0
22:06:08 02/07/2026,98,53,0
22:06:09 02/07/2026,98,53,0
22:06:10 02/07/2026,98,53,0
22:06:11 02/07/2026,98,53,0
22:06:12 02/07/2026,98,52,0
22:06:13 02/07/2026,98,52,0
