Time,Oxygen Level,Pulse Rate,Motion
23:00:16 13/06/2026,97,58,3
23:00:17 13/06/2026,97,58,0
23:00:18 13/06/2026,97,58,0
23:00:19 13/06/2026,97,58,0
23:00:20 13/06/2026,97,58,0
23:00:21 13/06/2026,97,58,0
23:00:22 13/06/2026,97,58,0
23:00:23 13/06/2026,97,59,0
23:00:24 13/06/2026,97,59,0
23:00:25 13/06/2026,97,59,0
23:00:26 13/06/2026,97,59,0
23:00:27 13/06/2026,97,59,0
23:00:28 13/06/2026,97,59,0
23:00:29 13/06/2026,97,59,0
23:00:30 13/06/2026,97,59,0
23:00:31 13/06/2026,97,59,0
23:00:32 13/06/2026,97,59,0
23:00:33 13/06/2026,97,59,0
23:00:34 13/06/2026,97,59,0
23:00:35 13/06/2026,97,59,0
23:00:36 13/06/2026,97,60,0
23:00:37 13/06/2026,97,60,0
23:00:38 13/06/2026,97,60,0
23:00:39 13/06/2026,97,60,0
23:00:40 13/06/2026,97,60,0
23:00:41 13/06/2026,97,60,0
23:00:42 13/06/2026,97,60,0
23:00:43 13/06/2026,97,60,0
23:00:44 13/06/2026,97,60,0
23:00:45 13/06/2026,97,60,0
23:00:46 13/06/2026,97,60,0
23:00:47 13/06/2026,97,60,0
23:00:48 13/06/2026,97,60,0
23:00:49 13/06/2026,97,60,0
23:00:50 13/06/2026,97,61,0
23:00:51 13/06/2026,97,61,0
23:00:52 13/06/2026,97,61,0
23:00:53 13/06/2026,97,61,0
23:00:54 13/06/2026,97,61,0
23:00:55 13/06/2026,97,61,0
23:00:56 13/06/2026,97,61,0
23:00:57 13/06/2026,97,61,0
23:00:58 13/06/2026,97,61,0
23:00:59 13/06/2026,97,61,0
23:01:00 13/06/2026,97,61,0
23:01:01 13/06/2026,97,61,0
23:01:02 13/06/2026,97,61,0
23:01:03 13/06/2026,97,61,0
23:01:04 13/06/2026,97,61,0
23:01:05 13/06/2026,97,61,0
23:01:06 13/06/2026,97,61,0
23:01:07 13/06/2026,97,61,0
23:01:08 13/06/2026,97,62,0
23:01:09 13/06/2026,97,62,0
23:01:10 13/06/2026,97,62,0
23:01:11 13/06/2026,97,62,0
23:01:12 13/06/2026,97,62,0
23:01:13 13/06/2026,97,62,0
23:01:14 13/06/2026,97,62,0
23:01:15 13/06/2026,97,62,0
23:01:16 13/06/2026,97,62,0
23:01:17 13/06/2026,97,62,0
23:01:18 13/06/2026,97,62,0
23:01:19 13/06/2026,97,62,0
23:01:20 13/06/2026,97,62,0
23:01:21 13/06/2026,97,62,0
23:01:22 13/06/2026,97,62,0
23:01:23 13/06/2026,97,62,0
23:01:24 13/06/2026,97,62,0
23:01:25 13/06/2026,97,62,0
