Time,Oxygen Level,Pulse Rate,Motion
23:00:16 12/06/2026,97,58,3
23:00:17 12/06/2026,97,58,0
23:00:18 12/06/2026,97,58,0
23:00:19 12/06/2026,97,58,0
23:00:20 12/06/2026,97,58,0
23:00:21 12/06/2026,97,58,0
23:00:22 12/06/2026,97,58,0
23:00:23 12/06/2026,97,59,0
23:00:24 12/06/2026,97,59,0
23:00:25 12/06/2026,97,59,0
23:00:26 12/06/2026,97,59,0
23:00:27 12/06/2026,97,59,0
23:00:28 12/06/2026,97,59,0
23:00:29 12/06/2026,97,59,0
23:00:30 12/06/2026,97,59,0
23:00:31 12/06/2026,97,59,0
23:00:32 12/06/2026,97,59,0
23:00:33 12/06/2026,97,59,0
23:00:34 12/06/2026,97,59,0
23:00:35 12/06/2026,97,59,0
23:00:36 12/06/2026,97,60,0
23:00:37 12/06/2026,97,60,0
23:00:38 12/06/2026,97,60,0
23:00:39 12/06/2026,97,60,0
23:00:40 12/06/2026,97,60,0
23:00:41 12/06/2026,97,60,0
23:00:42 12/06/2026,97,60,0
23:00:43 12/06/2026,97,60,0
23:00:44 12/06/2026,97,60,0
23:00:45 12/06/2026,97,60,0
23:00:46 12/06/2026,97,60,0
23:00:47 12/06/2026,97,60,0
23:00:48 12/06/2026,97,60,0
23:00:49 12/06/2026,97,60,0
23:00:50 12/06/2026,97,61,0
23:00:51 12/06/2026,97,61,0
23:00:52 12/06/2026,97,61,0
23:00:53 12/06/2026,97,61,0
23:00:54 12/06/2026,97,61,0
23:00:55 12/06/2026,97,61,0
23:00:56 12/06/2026,97,61,0
23:00:57 12/06/2026,97,61,0
23:00:58 12/06/2026,97,61,0
23:00:59 12/06/2026,97,61,0
23:01:00 12/06/2026,97,61,0
23:01:01 12/06/2026,97,61,0
23:01:02 12/06/2026,97,61,0
23:01:03 12/06/2026,97,61,0
23:01:04 12/06/2026,97,61,0
23:01:05 12/06/2026,97,61,0
23:01:06 12/06/2026,97,61,0
23:01:07 12/06/2026,97,61,0
23:01:08 12/06/2026,97,62,0
23:01:09 12/06/2026,97,62,0
23:01:10 12/06/2026,97,62,0
23:01:11 12/06/2026,97,62,0
23:01:12 12/06/2026,97,62,0
23:01:13 12/06/2026,97,62,0
23:01:14 12/06/2026,97,62,0
23:01:15 12/06/2026,97,62,0
23:01:16 12/06/2026,97,62,0
23:01:17 12/06/2026,97,62,0
23:01:18 12/06/2026,97,62,0
23:01:19 12/06/2026,97,62,0
23:01:20 12/06/2026,97,62,0
23:01:21 12/06/2026,97,62,0
23:01:22 12/06/2026,97,62,0
23:01:23 12/06/2026,97,62,0
23:01:24 12/06/2026,97,62,0
23:01:25 12/06/2026,97,62,0
23:01:26 12/06/2026,97,62,0
23:01:27 12/06/2026,97,62,0
23:01:28 12/06/2026,97,62,0
23:01:29 12/06/2026,97,62,0
23:01:30 12/06/2026,97,62,0
23:01:31 12/06/2026,97,62,0
23:01:32 12/06/2026,97,62,0
23:01:33 12/06/2026,97,62,0
23:01:34 12/06/2026,97,62,0
23:01:35 12/06/2026,97,62,0
23:01:36 12/06/2026,97,62,0
23:01:37 12/06/2026,97,62,0
23:01:38 12/06/2026,97,62,0
23:01:39 12/06/2026,97,62,0
23:01:40 12/06/2026,97,62,0
23:01:41 12/06/2026,97,62,0
23:01:42 12/06/2026,97,62,0
23:01:43 12/06/2026,97,62,0
23:01:44 12/06/2026,97,62,0
23:01:45 12/06/2026,97,62,0
23:01:46 12/06/2026,97,62,0
23:01:47 12/06/2026,97,62,0
23:01:48 12/06/2026,97,62,0
23:01:49 12/06/2026,97,62,0
23:01:50 12/06/2026,97,62,0
23:01:51 12/06/2026,97,62,0
23:01:52 12/06/2026,97,62,0
23:01:53 12/06/2026,97,62,0
23:01:54 12/06/2026,97,62,0
23:01:55 12/06/2026,97,62,0
23:01:56 12/06/2026,97,62,0
23:01:57 12/06/2026,97,62,0
23:01:58 12/06/2026,97,62,0
23:01:59 12/06/2026,97,62,0
23:02:00 12/06/2026,97,62,0
23:02:01 12/06/2026,97,62,0
23:02:02 12/06/2026,97,62,0
23:02:03 12/06/2026,97,62,0
23:02:04 12/06/2026,97,62,0
23:02:05 12/06/2026,97,62,0
23:02:06 12/06/2026,97,62,0
23:02:07 12/06/2026,97,62,0
23:02:08 12/06/2026,97,62,0
23:02:09 12/06/2026,97,62,0
23:02:10 12/06/2026,97,62,0
23:02:11 12/06/2026,97,62,0
23:02:12 12/06/2026,97,62,0
23:02:13 12/06/2026,97,62,0
23:02:14 12/06/2026,97,62,0
23:02:15 12/06/2026,97,62,0
